,gender,a,boy,enquiry,feeling,for,have,he,her,his,inquiry,money,of,say,see,seem,she,the,this,upon,whisper,wish
Eliot_Romola2,w,18.5041223681,0.0547459242,0,0.3722722843,7.1060209567,18.7888011738,14.5405174585,10.9053880939,10.4783698854,0.0547459242,0.2737296208,28.7416101871,4.8504888811,2.6059059903,1.4233940283,7.3140554686,50.54143719,2.5840076206,0.5693576113,0.0766442938,0.6022051658
Eliot_Romola3,w,18.5137252231,0.204345753,0,0.3133301546,6.8523942511,17.355765956,11.048293713,12.0563994278,8.4190450242,0.0408691506,0.1907227028,28.4857979702,4.7135753695,2.8744635924,1.5121585723,9.5088890403,54.2606089503,3.0924323956,0.3269532048,0.1089844016,0.3269532048
Eliot_Silas,w,19.5062986621,0.106656554,0,0.4029247597,9.0539563656,16.9939442779,12.4669660951,7.0630340234,11.2818932723,0.106656554,1.196923551,21.1772513421,7.145989121,2.3582949172,0.8177002477,4.799544932,42.9825912802,3.3774575448,0.3555218468,0.0118507282,0.5688349549
Gaskell_Barton,w,14.9857511685,0.2061313778,0,0.4637956001,8.9254886602,13.8262621682,12.3730359545,15.315561373,7.8226857888,0.1030656889,0.3607299112,20.1081159077,4.6328027168,3.2465692009,1.0461167425,12.9759702346,35.1917794807,2.3447444229,0.6390072713,0.1958248089,0.6544671246
Gaskell_Lovers,w,18.3480135182,0.0487861128,0,0.3281974862,9.1762243097,14.786627283,14.6003530341,14.4495595945,9.8769702937,0.106442428,0.2616709687,22.6855424572,5.8144176269,2.9049912629,0.9003255364,10.693028908,37.3923379192,3.1134410176,0.9047606376,0.1552285408,0.6874406805
Gaskell_NorthSouth,w,15.2746107387,0.1183372703,0.0409629013,0.3413575105,7.5872396011,15.8571942233,11.8155212984,14.77850449,6.6405414385,0.086477236,0.259431708,21.1186513192,5.8167319797,3.1086290627,0.9740067634,12.8851081648,31.3411709018,2.8992631229,1.0422782655,0.0637200686,0.8056037249
Gaskell_Ruth,w,13.8880150991,0.5295166195,0,0.4823319702,7.6072140086,15.2825836217,11.77519136,16.0480234875,6.8784733145,0.0838838209,0.3722344553,21.2121212121,5.0802139037,2.7262241795,0.9856348957,15.0990877634,37.1500471846,2.9673901646,0.8860228583,0.1048547761,0.6920415225
Gaskell_Wives1,w,16.4426963837,0.2731344914,0,0.2276120762,7.6568702429,16.4426963837,11.3077679449,16.506427765,7.3746312684,0.0910448305,0.2731344914,21.5229979242,5.5901525911,2.6403000838,0.7556720929,14.5034414946,34.2692741906,2.9043300921,1.0470155505,0.0273134491,0.8102989912
Gaskell_Wives2,w,15.5045378094,0.1451415984,0,0.3756606077,7.9742501729,17.5792088929,12.8919890375,11.5942523927,8.588967531,0.0853774108,0.6488683224,20.8918524337,7.0948628412,2.5442468432,0.7171702511,10.6380253912,30.5138866359,3.1248132369,0.7342457333,0.0683019287,0.9647647425
Gaskell_Wives3,w,13.6540895387,0.3086832601,0,0.3086832601,7.3981088006,16.9055532118,11.431570066,15.2386636073,5.4122464939,0.082315536,0.2572360501,18.3872328604,7.8508442487,2.7061232469,0.7819975923,13.9216150308,29.5924352022,2.994227623,0.9980758743,0.113183862,1.0495230844
Hardy_BlueEyes,m,21.210762615,0.2083820084,0,0.2778426779,5.6515726527,14.1257743286,8.7899319917,9.396134198,6.5419321432,0.0694606695,0.1010337011,23.8944702992,6.7692579706,2.5321571327,1.1303145305,7.9437747454,42.7372555458,3.3656851664,2.2606290611,0.2020674021,0.6377752379
Hardy_Greenwood,m,21.817316708,0.2518997439,0,0.3078774648,5.5138055054,11.3214940454,8.1027750955,6.199532586,8.1307639559,0.0419832907,0.1119554417,22.2931273353,8.8864631877,2.3090809858,0.6717326504,4.968022727,45.9157255412,2.7988860434,1.5953650447,0.125949872,0.6997215108
Hardy_Jude,m,18.1239440193,0.6631414452,0,0.2537236834,5.9798059014,16.3767104724,14.7563387672,9.9817203619,8.5862401033,0.0980296049,0.2133585519,20.5285525641,6.0432368222,2.7851940698,1.4012467059,9.8779243096,40.4977597352,3.0792828846,0.9918289441,0.1383947364,0.9802960494
Hardy_Madding,m,23.223813873,0.1742537134,0,0.4506561554,5.9186175071,13.1231072441,8.7307119166,8.8508868913,6.8439648128,0.0660962361,0.2403499495,23.1877613806,7.5169446714,2.2412632793,0.9914435418,7.8954958419,46.3635052637,3.8576166899,2.4275344902,0.2163149546,0.7030236024
Hardy_Native,m,19.3855286003,0.4927032988,0,0.2698137112,5.490122472,15.5846745812,10.2235934494,10.4523485524,7.0327530383,0.0410586082,0.3695274741,21.9135657642,6.8685186054,2.5866923185,0.8622307728,9.4904040167,45.5750551358,3.9416263901,1.9121580404,0.1466378865,0.8856928347
Hardy_Tess,m,17.9958983707,0.1196308534,0,0.2164748775,5.9074854734,15.9963541073,10.2483764384,15.9735672781,7.1664577874,0.1139341461,0.1139341461,25.4244046941,4.4662185257,2.0280277999,1.1507348752,12.6182066765,49.379058904,3.7997037712,1.9425771904,0.1652045118,0.6494246326
Hardy_Woodlanders,m,18.6888405035,0.1188777936,0,0.312836299,5.9126060515,17.6064269089,14.0964036339,14.1214305378,9.272467903,0.1439046975,0.1751883275,23.8381259854,5.6748504642,2.890607403,0.9072252672,12.3820607153,45.4613709738,3.4849963711,1.6204920289,0.1251345196,0.5693620642
Hawthorne_Blithedale,m,22.8622623353,0.0774242072,0,0.1990908186,5.3090884959,13.2506000376,4.5127252215,8.8484808264,5.6519671279,0.0442424041,0.011060601,30.8922586853,2.9863622789,1.5927265488,1.4821205384,5.0546946721,41.8975567132,4.1587859884,1.5153023415,0.2654544248,0.342878632
Hawthorne_MarbleFaun,m,21.319833796,0.120963596,0,0.1874935738,5.1832900888,13.051972009,5.5159399779,7.4755502332,6.2719624529,0.0241927192,0.0241927192,32.4424364488,2.9757044617,1.9475138957,1.4576113319,4.7115320644,50.5204458718,4.088569545,1.7176830633,0.211686293,0.1572526748
Hawthorne_Scarlet,m,20.6443036827,0.0201407841,0,0.2014078408,4.3101277933,13.5748884704,6.1530095367,9.6575059667,9.1439159726,0.0302111761,0,32.5172958983,1.9637264479,1.5810515503,1.258799005,5.0049848441,52.2754050815,4.481324458,1.7623186071,0.3121821533,0.0604223522
Hawthorne_SevenGables,m,22.1443886152,0.1473019198,0,0.1473019198,5.2946856741,13.2571727852,6.4894679127,7.3896463117,10.2538503085,0.0736509599,0.0491006399,32.4718898836,2.3650141574,1.3993682384,1.3666344785,4.3372231951,50.2545049837,4.0098855955,1.1211312787,0.2291363197,0.1800356798
Lytton_Barons,m,14.8082041148,0.258171445,0,0.1179301662,6.2216130934,10.4989720952,8.1658671851,4.8255749096,13.3611691023,0.0095619054,0.1115555626,29.2179955059,4.2295494749,1.5840889895,0.8000127492,1.8964445649,62.464740474,3.5124065722,1.408787391,0.2868571611,0.1306793734
Lytton_Harold,m,11.4677790134,0.175818766,0,0.0439546915,5.5075228455,9.5425635255,7.1821965918,2.9405688616,13.6699090577,0.0043954692,0.0307682841,32.4429577991,4.1932775695,1.5340187335,0.9845850897,1.3274316834,71.5758196451,2.4306944402,0.7867889779,0.2197734575,0.1230731362
Lytton_Pompeii,m,14.3016747356,0.1278424092,0,0.1445175061,5.3360309934,9.5770639601,8.5987916113,6.4532624827,9.2380036574,0.0055583656,0.1111673124,31.3491820865,4.5745349038,1.8564941165,1.0005058113,4.7968695285,66.1945761468,2.9125835839,1.6786264167,0.2390097216,0.2278929903
Lytton_Rienzi,m,15.3299910783,0.4166496837,0,0.0815184164,5.0767858194,10.1399852361,9.4742515024,2.8259717675,12.6217681345,0.0226440045,0.1403928282,32.5032041266,4.397465683,1.6394259292,1.0235090055,1.5896091192,64.8660154251,3.0116526047,1.5443211101,0.2943720591,0.1811520364
Lytton_Zanoni,m,13.8715427888,0.0693844003,0,0.1547805852,4.7501627865,10.3169265913,9.2227879719,5.2999007269,9.825898528,0.0053372616,0.1120824927,28.1220311483,3.0475763495,1.7719708372,1.4997704978,3.1436470576,60.7433737898,3.1276352729,1.4357233591,0.3575965244,0.181466893
Thackeray_Barry,m,20.6039624553,0.5300270381,0,0.1140564512,7.5881086086,15.122543593,7.4002509242,7.6686190447,8.768928339,0.0536736241,0.8319411737,28.6818428839,4.884299794,1.7578111896,0.2482405115,4.0523586203,48.6215942408,3.2472542587,1.455897054,0.0738012332,0.2616589175
Thackeray_Pendennis1,m,20.181031792,1.5606188969,0,0.1961920899,5.9481874526,14.0009809604,15.8737236367,7.2501895037,15.0800374549,0.0267534668,0.499398047,24.9163954162,5.3417755384,2.4702367682,0.3121237794,4.8334596691,48.1294867793,2.4524011236,1.3287555179,0.0624247559,0.3210416016
Thackeray_Pendennis2,m,20.4279774047,0.6864898792,0,0.1176839793,5.6880589989,13.710183587,12.0429938804,8.1888435588,12.0724148753,0.0196139965,0.5688058999,24.7234426487,6.2764788953,2.2948375961,0.3628589361,5.2369370783,46.0046289032,2.8342225012,1.6377687118,0.1569119724,0.2942099482
Thackeray_Pendennis3,m,18.8386437748,0.6286095942,0,0.1767964484,6.5807566888,14.7133933132,14.3598004165,7.9165520764,14.0356735945,0.0589321495,0.7170078183,23.2389109339,5.6181982478,2.3376419283,0.2946607473,5.9521470946,43.9339174164,2.8680312733,1.7581424586,0.0392880996,0.54021137
Thackeray_Pendennis4,m,17.4619914697,0.6533080721,0,0.1399945869,5.7864429242,15.8847191242,11.5168880137,7.6250384985,10.9475766937,0,0.895965356,20.4485426564,6.2810904645,2.2865782523,0.3733188983,5.4691218606,39.6651329482,2.7905587651,1.1666215573,0.0839967521,0.6439750996
Thackeray_Vanity1,m,19.6019026267,0.4165783016,0,0.2575211319,6.1350622595,12.8533341412,10.1569364074,11.785378859,9.8160996152,0.0605932075,0.605932075,22.2604296058,5.6578907504,1.9692792438,0.3181143394,8.142212258,44.2936346836,3.165995092,1.2270124519,0.0757415094,0.3332626413
Thackeray_Vanity2,m,17.9433577224,0.8627411942,0,0.2488676522,6.5203324872,13.5052179251,10.7676737511,13.6960164584,11.9041693627,0.0746602957,0.7466029565,25.8739402386,4.3800706784,1.9660544522,0.2820500058,8.2872928177,51.6400378279,2.7458397624,1.4351367943,0.0829558841,0.2820500058
Thackeray_Vanity3,m,18.0817986128,1.435063382,0,0.1913417843,6.151638364,13.288686917,11.5761779479,12.8964362593,12.3128438173,0.0287012676,0.8323367615,24.3291078689,4.9174838555,2.2291317867,0.2774455872,10.4472614207,50.3515905286,2.6405166228,1.5785697202,0.0861038029,0.2296101411
Trollope_Barchester,m,14.6816446912,0.1257807078,0,0.4684247051,6.0157876475,17.8391741846,16.8632893824,10.5308813324,12.1269951423,0.0390353921,0.1778278973,23.4038861901,6.9873351839,1.7305690493,0.3079458709,9.8976405274,43.7022900763,3.3613809854,0.7113115892,0.1734906315,0.7720333102
Trollope_Forgive1,m,14.8309353968,0.1370249466,0,0.2498690203,5.8759521219,20.1990891871,12.4531495587,11.5584572603,7.5202514811,0.0483617459,0.7173658969,19.3930600895,8.3907629065,2.0392536171,0.5884012413,11.1070809656,31.4915568452,2.8452827147,1.2332245194,0.0886632007,0.8382702616
Trollope_Forgive2,m,12.3555004858,0.098562397,0,0.2534461638,5.7940609116,20.9022683432,18.6001323552,13.8198560989,10.4828149421,0.0422410273,1.9994086256,18.1214007125,8.6030892271,1.816364174,0.5702538686,12.4540628828,29.8996071584,3.4215232114,1.4573154419,0.1337632531,1.0841863674
Trollope_Forgive3,m,12.3202927594,0.1829746449,0,0.2613923499,6.4389648863,20.3624640586,18.6285614708,11.7975080596,10.1507362551,0.05227847,1.2982486713,17.6962620894,8.5823821556,2.4570880892,0.4356539165,11.466411083,31.0795504052,3.2586912956,1.4463710029,0.2091138799,0.6186285615
